-,60,_
21032,Elisanne,4*,water,lance,5676,[Beach_Battle+Castle_Cheer_Corps][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],<hp60 & always connect hits>,no s2 or s3,attack:3590,force_strike:871,team_buff:16569
20961,_c_Elisanne,4*,water,lance,5511,[Beach_Battle+Castle_Cheer_Corps][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],!<hp60 & always connect hits>,no s2 or s3,attack:3534,force_strike:857,team_buff:16569
-,60,affliction
21589,Elisanne,4*,water,lance,5676,[Beach_Battle+His_Clever_Brother][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],<hp60 & always connect hits>,no s2 or s3,attack:4147,force_strike:1035,team_buff:16405
21504,_c_Elisanne,4*,water,lance,5511,[Beach_Battle+His_Clever_Brother][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],!<hp60 & always connect hits>,no s2 or s3,attack:4080,force_strike:1018,team_buff:16405
-,120,_
25261,Elisanne,4*,water,lance,5676,[Beach_Battle+Castle_Cheer_Corps][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],<hp60 & always connect hits>,no s2 or s3,attack:3815,force_strike:967,team_buff:20478
25191,_c_Elisanne,4*,water,lance,5511,[Beach_Battle+Castle_Cheer_Corps][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],!<hp60 & always connect hits>,no s2 or s3,attack:3760,force_strike:952,team_buff:20478
-,120,affliction
25243,Elisanne,4*,water,lance,5676,[Beach_Battle+His_Clever_Brother][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],<hp60 & always connect hits>,no s2 or s3,attack:4542,force_strike:1114,team_buff:19586
25158,_c_Elisanne,4*,water,lance,5511,[Beach_Battle+His_Clever_Brother][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],!<hp60 & always connect hits>,no s2 or s3,attack:4475,force_strike:1096,team_buff:19586
-,180,_
26681,Elisanne,4*,water,lance,5676,[Beach_Battle+Castle_Cheer_Corps][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],<hp60 & always connect hits>,no s2 or s3,attack:3933,force_strike:997,team_buff:21750
26610,_c_Elisanne,4*,water,lance,5511,[Beach_Battle+Castle_Cheer_Corps][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],!<hp60 & always connect hits>,no s2 or s3,attack:3878,force_strike:982,team_buff:21750
-,180,affliction
27024,Elisanne,4*,water,lance,5676,[Beach_Battle+His_Clever_Brother][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],<hp60 & always connect hits>,no s2 or s3,attack:4676,force_strike:1167,team_buff:21180
26939,_c_Elisanne,4*,water,lance,5511,[Beach_Battle+His_Clever_Brother][Gaibhne_and_Creidhne][HDT2][Tobias|Renee|Hunter_Sarisse],!<hp60 & always connect hits>,no s2 or s3,attack:4609,force_strike:1149,team_buff:21180
